Date,DayName,Type,Roles/Targets,ScenarioID,Title,Preconditions,Steps,Expected,Priority,Owner,Est(min),Status,Notes
2024-10-23,목,단위+연동,관리자+공통,AUTH-01,로그인 성공/실패,"유효/무효 계정 1세트","성공/실패 케이스 입력→제출","성공: 역할 홈 이동, 실패: 정확 오류·속도제한",P1,,25,Pending,
2024-10-23,목,단위+연동,관리자+공통,AUTH-02,비밀번호 재설정,"재설정 대상 계정, 메일 수신 가능","재설정 요청→메일 링크→새 비밀번호","토큰 유효·만료 처리, 재로그인 가능",P1,,30,Pending,
2024-10-23,목,단위+연동,관리자+공통,AUTH-04,역할 변경 즉시 반영,"동일 사용자 역할 전환 가능","역할 전환→메뉴/권한 확인","리로드 없이 UI/권한 즉시 반영",P1,,25,Pending,
2024-10-23,목,단위+연동,관리자+공통,ADMIN-USER-01,초대/역할/비활성,"admin 계정, 신규 이메일","초대→가입→역할 부여→비활성/재활성","감사 로그 기록, 접근 권한 일치",P1,,35,Pending,
2024-10-23,목,단위+연동,관리자+공통,AUTH-05,미들웨어 라우팅 가드,"비로그인/다역할 계정","보호 라우트 접근/직접 URL 이동","302/403/404 기대값, 오픈리다이렉트 없음",P1,,25,Pending,
2024-10-24,금,단위+연동,작업자·현장관리자+관리자,M-WORKLOG-01,일지 작성(필수값),"worker, 활성 현장","날짜/현장/유형 입력→저장","성공 생성, 누락 시 필드 에러",P1,,25,Pending,
2024-10-24,금,단위+연동,작업자·현장관리자+관리자,M-WORKLOG-02,일지 수정/삭제 권한,"본인 작성 일지 1건","수정 저장, 삭제 시도","본인만 가능, 타 사용자 403",P1,,20,Pending,
2024-10-24,금,단위+연동,작업자·현장관리자+관리자,M-WORKLOG-03,첨부 업로드(온라인),"허용 파일 2~3개","첨부 업로드→미리보기","MIME/확장자 검증, 프리뷰 정상",P2,,20,Pending,
2024-10-24,금,단위+연동,작업자·현장관리자+관리자,M-SITE-01,현장 목록/검색/필터,"활성3/비활성1","키워드/상태 필터","결과/정렬/페이징 일치",P2,,20,Pending,
2024-10-24,금,단위+연동,작업자·현장관리자+관리자,M-SITE-02,비활성 현장 접근 차단,"비활성 현장 식별자","상세 접근 시도","접근 차단 및 안내",P1,,15,Pending,
2024-10-24,금,단위+연동,작업자·현장관리자+관리자,M-DOCS-01,문서 업로드/미리보기/다운로드,"허용 확장자·용량 파일","업→미→다운 순차 실행","업로드/프리뷰/다운로드 정상",P2,,25,Pending,
2024-10-25,토,단위(심화)+연동,작업자·현장관리자+관리자,M-WORKLOG-03,첨부 오프라인 재시도,"네트워크 토글, 사진 3개","오프라인 업로드→온라인 전환","실패 큐 보존, 자동 재시도 성공",P2,,30,Pending,
2024-10-25,토,단위(심화)+연동,작업자·현장관리자+관리자,M-DOCS-03,폴더/태그/검색,"태그/폴더 분산 파일 ≥5","태그·키워드·폴더 필터링","정확 결과, 빈 결과 처리 정상",P3,,20,Pending,
2024-10-25,토,단위(심화)+연동,작업자·현장관리자+관리자,M-WORKLOG-04,목록/상세 동기화,"일지 ≥3건","생성/수정 후 목록/상세 확인","최신 반영, 캐시 무효화",P2,,20,Pending,
2024-10-27,월,디자인개선검증,전체,NFR-03,다크모드/큰글씨 접근성,"주요 화면(로그인/일지/보고서)","대비·포커스·레이블·반응형 확인","시각적 P1 0, 레이아웃 붕괴 없음",P2,,40,Pending,
2024-10-28,화,단위+연동,거래처(파트너)+관리자,M-DOCS-02,Storage ACL/RLS,"서로 다른 파트너/작업자 계정","타 계정 파일 URL/서명 URL 접근","403/만료 처리, 우회 불가",P1,,30,Pending,
2024-10-28,화,단위+연동,거래처(파트너)+관리자,M-SITE-02,파트너 현장 제한,"비소속 현장 존재","비소속 현장 접근","차단·안내, 목록 제한",P1,,20,Pending,
2024-10-28,화,단위+연동,생산관리자+관리자,M-PAY-01,급여 집계 정확성,"근무/수당/공제 샘플","기간 선택→집계","수식/반올림/세전·세후 정확",P1,,30,Pending,
2024-10-28,화,단위+연동,생산관리자+관리자,M-PAY-02,급여 출력(엑셀/PDF),"출력 대상 ≥2","엑셀/PDF 내보내기","레이아웃/포맷 일치, 파일 무결성",P2,,25,Pending,
2024-10-28,화,단위+연동,생산관리자+관리자,ADMIN-RPT-01,보고서 교차 확인,"기간/현장/파트너 조합","필터→합계/평균/추세 검증","수치 정확, 단위/포맷 일관",P1,,30,Pending,
2024-10-28,화,단위+연동,전역,AUTH-05,권한 차단 재확인,"다양한 역할 계정","보호 라우트/API 직접 호출","우회 불가, 적절 응답 코드",P1,,20,Pending,
2024-10-29,수,단위+종합,관리자+전역,ADMIN-USER-01,사용자 관리 전수,"테스트 계정 세트","초대→역할→비활성/재활성 반복","감사 로그·권한 일치",P1,,35,Pending,
2024-10-29,수,단위+종합,관리자+전역,ADMIN-USER-02,권한 매트릭스 전수,"역할별 계정","메뉴/API 교차 검증","정책·UI·API 일관",P1,,30,Pending,
2024-10-29,수,단위+종합,관리자+전역,ADMIN-SITE-01,현장 생성/수정/종료,"관리자 권한","생성→수정→종료","종료 규칙 적용, 입력 차단",P1,,30,Pending,
2024-10-29,수,단위+종합,관리자+전역,M-MAT-01,자재 입·출고,"재고0/대량, 단위 혼합","입고/출고 입력","음수 방지, 수량/단위 변환 정확",P1,,30,Pending,
2024-10-29,수,단위+종합,관리자+전역,M-MAT-02,자재 임포트 CSV/XLSX,"정상·오류 CSV","임포트 실행","성공/실패 분리 리포트",P2,,35,Pending,
2024-10-29,수,단위+종합,관리자+전역,M-MAT-03,자재 집계/히스토리,"다양한 거래 기록","대시보드↔히스토리 비교","합계/스냅샷 일치",P2,,25,Pending,
2024-10-29,수,단위+종합,관리자+전역,ADMIN-RPT-02,내보내기 성능,"≥5,000행 데이터","보고서 내보내기","≤5초, 파일 무결성",P1,,25,Pending,
2024-10-30,목,종합+디자인검증,전역,AUTH-01,회귀: 로그인,"Day1 데이터","성공/실패 재확인","동일 결과 유지",P1,,15,Pending,
2024-10-30,목,종합+디자인검증,전역,AUTH-05,회귀: 가드,"Day1 계정셋","보호 라우트 재검증","동일 결과 유지",P1,,15,Pending,
2024-10-30,목,종합+디자인검증,전역,M-WORKLOG-01,회귀: 일지 작성,"Day1 현장/계정","필수값→저장","동일 결과 유지",P1,,15,Pending,
2024-10-30,목,종합+디자인검증,전역,ADMIN-RPT-01,회귀: 보고서 정확성,"표본 데이터","필터→합계/평균/추세","수치 일치",P1,,20,Pending,
2024-10-30,목,종합+디자인검증,전역,ADMIN-RPT-02,회귀: 보고서 성능,"표본 데이터(수천 행)","내보내기","SLA 충족(≤5s)",P1,,20,Pending,
2024-10-30,목,종합+디자인검증,전역,NFR-03,다크모드/큰글씨 재점검,"핵심 화면","대비·레이아웃·시인성","시각적 결함 0",P2,,25,Pending,
2024-10-31,금,종합(마감),전역,NFR-01,성능 스냅샷(LCP/TTI),"프리뷰/스테이징 URL","측정 도구로 기록","LCP ≤2.5s 목표, 회귀 없음",P1,,25,Pending,
2024-10-31,금,종합(마감),전역,NFR-02,보안 가드 최종 확인,"엔드포인트 목록","XSS/CSRF/오픈리다이렉트/API","우회 불가, 보안 헤더 적정",P1,,30,Pending,
2024-10-31,금,종합(마감),전역,AUTH-01,회귀: 로그인(최종),"Day1 데이터","성공/실패 재확인","동일 결과 유지",P1,,10,Pending,
2024-10-31,금,종합(마감),전역,M-WORKLOG-01,회귀: 일지 작성(최종),"Day1 현장/계정","필수값→저장","동일 결과 유지",P1,,10,Pending,
2024-10-31,금,종합(마감),전역,ADMIN-RPT-01,회귀: 보고서 정확성(최종),"표본 데이터","필터→합계/평균/추세","동일 결과 유지",P1,,15,Pending,
2024-10-31,금,종합(마감),전역,ADMIN-RPT-02,회귀: 보고서 성능(최종),"표본 데이터(수천 행)","내보내기","SLA 유지",P1,,15,Pending,"릴리스 체크리스트 병행"
